v,i,p,s,q,pf,ih3,ih5,ih7,ih9,ih11,ih13,ih15,ih17,ih19,ih21,ih23,ih25,ih27,ih29,ithd,vh3,vh5,vh7,vh9,vh11,vh13,vh15,vh17,vh19,vh21,vh23,vh25,vh27,vh29,vthd,filename,device,device name,voltagerange,Status,devicenumber,State,Type
200.7,0.234,9.1,47,11.4,0.196,0.3,1.9,1.3,0.9,0.9,0.5,0.9,0.9,0.3,0.1,0.6,0.4,0.1,0.1,3.2,110.5,105.2,99,99,83.5,75.7,67.2,49.1,42.7,32.8,23.8,10,9.3,10.9,257.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.9,0.229,8.8,46.1,11.1,0.192,0.3,2.2,0.5,0.4,1.1,0.9,0.3,0.2,0.1,0,0.4,0.2,0.7,0.2,3,101.5,96.7,90.9,89.9,89.4,73.7,78.7,75.2,64.5,52.8,40.3,34.7,28.6,23.6,269.3,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.9,0.229,8.8,46.1,11.1,0.192,0.4,2.5,0.4,0.7,1.1,1,0.3,0.1,0.1,0,0.3,0.1,0.4,0.2,3.2,119.7,118,116.7,104.5,94,77.2,67.7,60.8,50,38.5,23.1,16.6,11.1,5.7,284.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.8,0.227,8.8,45.6,11.1,0.195,0.4,1.7,1.5,0.9,0.9,0.4,0.9,0.7,0.1,0,0.5,0.2,0.2,0.1,3.1,116.2,113.7,115.5,108.2,98.4,83.7,77.9,64.4,58.7,52.1,33.3,28.1,13.6,9,294.6,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.8,0.229,9,46.1,11.2,0.197,0.2,2.3,0.5,0.7,1.1,1,0.2,0.2,0.1,0,0.3,0,0.3,0.3,3.1,115.2,107.5,96.7,91.4,73.5,63.7,51.2,37.3,22.8,15.1,9.3,8,6.4,6.5,238.9,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.9,0.231,8.9,46.5,11.3,0.193,0.5,1.6,1.3,0.8,1,0.5,0.7,0.8,0.1,0,0.5,0.3,0.3,0.1,3,100.7,89.5,90.7,99.2,79.7,75.9,71.7,73.7,48.5,38.6,38.3,24.3,20.5,16.8,256.1,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
200.8,0.238,9.3,47.9,11.5,0.196,0.3,1.7,1.3,0.7,1.1,0.4,0.7,0.6,0.1,0.1,0.6,0.3,0.2,0.1,3,104.2,104.7,89,72.5,68.2,46.6,40.8,30.6,29.3,19.5,16.6,11.6,5.2,5.9,232,l4conV200.csv,Laptop,l4 lenovo i5 e430,V200,on,14,3,2
219,0.327,16,71.7,17.3,0.225,0.2,2.1,1.3,1,1.1,0.5,0.8,0.9,0.1,0,0.7,0.7,0.1,0.2,3.3,115.2,105.5,100.4,95.2,81.4,67,53.7,34.7,26.5,21,19.5,12.6,12.8,12,246.5,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.9,0.326,16,71.5,17.3,0.224,0.2,2,1.1,0.9,1.1,0.5,0.6,0.6,0.3,0.2,0.8,0.6,0.1,0,3.2,113.4,103.5,93.2,87.9,67.7,55,44.2,31.6,25.3,20.3,17.6,18.1,13.3,16.1,229.6,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.9,0.326,16,71.5,17.3,0.224,0.2,2,1.5,0.8,1.1,0.5,0.8,0.9,0.3,0.3,0.4,0.7,0.3,0.2,3.3,118.5,109,104,97,95.9,79.7,68,61.6,47.6,36.7,22.1,15.8,13.4,11.1,273.6,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.9,0.326,15.9,71.4,17.2,0.224,0.1,2.1,1.1,0.9,1.1,0.5,0.8,0.7,0.2,0.2,0.6,0.4,0.2,0,3.2,112.7,108.2,97.2,90.7,75.5,58.7,50.8,36.5,28.3,17.8,13,5.5,2.2,1.3,237.8,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.9,0.323,15.8,70.8,17.2,0.225,0.2,2.2,1.5,0.9,1.1,0.5,0.9,0.6,0.3,0.2,0.3,0.4,0.2,0,3.3,114,108,91.7,83.7,65.9,46.5,36.8,26.8,27.5,23.8,25.1,22.6,18.1,12.8,227.4,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
219,0.322,15.7,70.6,17.2,0.224,0.1,2,1.3,1,1.1,0.4,0.9,0.7,0.3,0.1,0.5,0.2,0.4,0,3.2,119.2,110.2,97.7,89.4,75.7,52.8,45.6,27.5,21.1,13.8,10,8.1,6,5.5,237.1,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
219,0.323,15.7,70.7,17.1,0.223,0.3,2.2,1.3,1,1.1,0.8,0.7,0.6,0.4,0.4,0.4,0.6,0.1,0.3,3.3,115.4,115.7,107.9,103.4,90.5,80,74.5,60.7,45.3,43.1,34.3,24.6,18.8,16.8,281.6,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
